@relation Student_Performance

@attribute FirstYear numeric
@attribute SecondYear numeric
@attribute ThirdYear numeric
@attribute AVG_Till_Now numeric
@attribute Performance_Class {Excellent,Good,Average,Poor}

@data
3.875,4,1.975,3.94,Excellent
3.66,3.92,1.975,3.822,Excellent
3.715,3.84,1.945,3.8,Excellent
3.32,3.87,1.95,3.656,Good
3.565,3.82,1.91,3.718,Good
3.91,3.98,1.975,3.946,Excellent
3.345,3.625,1.85,3.528,Good
3.34,3.675,1.87,3.554,Good
3.35,3.03,0,2.552,Poor
3.725,3.87,1.955,3.82,Excellent
3.46,3.57,1.75,3.512,Good
3.51,3.495,1.87,3.55,Good
3.655,3.805,1.885,3.738,Good
3.575,3.825,1.905,3.722,Good
3.14,3.49,1.755,3.354,Average
3.72,3.665,1.865,3.7,Good
3.72,3.885,1.89,3.798,Excellent
3.425,3.675,1.83,3.572,Good
3.22,3.67,1.84,3.492,Average
3.485,3.52,1.83,3.534,Good
3.505,3.69,0,2.878,Poor
3.205,3.475,1.825,3.402,Average
3.66,3.815,1.925,3.76,Excellent
3.375,3.74,1.915,3.612,Good
3.785,3.845,1.835,3.786,Excellent
3.67,3.75,1.85,3.708,Good
3.5,3.455,1.875,3.532,Good
3.845,3.885,1.96,3.876,Excellent
3.72,3.775,1.88,3.75,Excellent
3.44,3.645,1.86,3.578,Good
3.85,3.8,1.905,3.822,Excellent
3.39,3.445,1.845,3.472,Average
3.54,3.81,1.945,3.718,Good
3.575,3.67,1.905,3.66,Good
3.795,3.88,1.85,3.81,Excellent
3.685,3.905,1.815,3.762,Excellent
3.42,3.8,1.845,3.626,Good
2.855,3.14,1.68,3.07,Poor
3.045,3.11,1.625,3.112,Poor
3.055,3.245,1.66,3.184,Poor
3.28,3.665,1.91,3.542,Good
3.59,3.74,1.75,3.632,Good
1.57,3.48,1.815,2.746,Poor
3.47,3.625,1.865,3.584,Good
3.25,3.46,1.735,3.378,Average
3.455,3.42,1.89,3.506,Good
3.365,3.68,1.845,3.556,Good
3.37,3.36,1.67,3.36,Average
3.055,3.315,1.735,3.242,Poor
3.05,3.26,0,2.524,Poor
3.505,3.585,1.885,3.59,Good
1.68,3.155,1.525,2.544,Poor
