@relation ThesisHub_J48_500_Dataset

@attribute ﻿CGPA numeric
@attribute Attendance numeric
@attribute Submission_Days numeric
@attribute Teacher_Rating numeric
@attribute Final_Marks numeric
@attribute Performance_Class {Good,Poor,Average,Excellent}

@data
3.42,66,130,3.8,77,Good
2.62,71,164,3.6,61,Poor
3.08,66,106,3.8,76,Good
3.21,66,166,3.8,69,Average
3.44,91,123,4.1,87,Excellent
2.85,65,115,4.5,74,Average
2.94,74,122,4.8,79,Good
2.94,70,143,3.6,68,Average
3.76,81,100,4.5,95,Excellent
3.26,89,105,4.3,88,Excellent
3.73,88,168,3.8,83,Good
2.51,79,132,4.9,73,Average
3.77,71,143,3.9,82,Good
3.42,88,115,4,87,Excellent
2.74,82,104,4.4,79,Good
2.67,80,115,4.1,74,Average
2.83,79,136,4.7,76,Good
3.64,79,99,4.6,93,Excellent
3.04,69,122,4.8,79,Good
3.31,85,122,4.4,85,Excellent
3.03,94,113,3.9,83,Good
2.79,81,169,4.1,68,Average
3.33,88,123,4.9,89,Excellent
2.62,96,106,4.6,82,Good
3.78,74,115,4.6,91,Excellent
3.08,69,144,4,72,Average
3.99,98,127,4.9,95,Excellent
3.78,65,109,4.5,89,Excellent
3.26,82,138,3.7,78,Good
3.1,94,95,4.8,91,Excellent
3.8,81,159,4.6,87,Excellent
3.21,71,133,4.7,80,Good
3.21,77,114,4,81,Good
2.66,98,95,4.3,83,Good
3.18,72,141,4.7,78,Good
3.73,84,125,3.6,87,Excellent
3.8,70,105,4.5,91,Excellent
3.71,73,111,4.4,89,Excellent
3.91,75,128,4.2,89,Excellent
3.37,78,164,4.6,79,Good
3.5,84,146,4.9,87,Excellent
3.44,93,161,4.1,82,Good
2.8,69,138,3.5,66,Average
3.29,79,95,3.6,83,Good
3.41,79,103,4.8,90,Excellent
3.78,69,160,3.8,79,Good
3.47,78,164,3.7,76,Good
3.9,95,126,4.6,95,Excellent
3.69,77,107,3.6,87,Excellent
3.09,92,147,4.2,79,Good
3.57,71,102,4.1,87,Excellent
2.94,71,126,3.8,72,Average
